comfort	ความสบายใจ, การปลอบโยน
comfortable	สบาย, นั่งสบาย
command	คำสั่ง (ทางการ/คอมพิวเตอร์)
comment	ความคิดเห็น, คอมเมนต์
commercial	เชิงพาณิชย์
commission	คณะกรรมาธิการ, ค่าคอมมิชชัน
commit	ก่อ (อาชญากรรม), ผูกมัดตน
commitment	พันธสัญญา, ความมุ่งมั่นทุ่มเท
committee	คณะกรรมการ
common	ธรรมดา, พบได้ทั่วไป
commonly	โดยทั่วไป
communicate	สื่อสาร
communication	การสื่อสาร
community	ชุมชน
company	บริษัท
compare	เปรียบเทียบ
comparison	การเปรียบเทียบ
compete	แข่งขัน
competition	การแข่งขัน
competitive	ชอบเอาชนะ, มีการแข่งขันสูง
competitor	คู่แข่ง
complain	บ่น, ร้องเรียน
complaint	คำร้องเรียน
complete	สมบูรณ์, ครบถ้วน
completely	อย่างสิ้นเชิง
complex	ซับซ้อน
complicated	ยุ่งยากซับซ้อน
component	ส่วนประกอบ, ชิ้นส่วน
computer	คอมพิวเตอร์
concentrate	ตั้งสมาธิ, จดจ่อ
concentration	สมาธิ, ความเข้มข้น
concept	แนวคิด, คอนเซปต์
concern	ความกังวล, เรื่องที่ห่วงใย
concerned	เป็นห่วง, เกี่ยวข้อง
concert	คอนเสิร์ต
conclude	สรุปผล, ลงความเห็น
conclusion	บทสรุป
condition	เงื่อนไข, สภาพ
conduct	ดำเนินการ (วิจัย/สำรวจ)
conference	การประชุมใหญ่, สัมมนา
confidence	ความเชื่อมั่น
confident	มั่นใจในตัวเอง
confirm	ยืนยัน
conflict	ความขัดแย้ง
confuse	ทำให้สับสน
confused	รู้สึกสับสน
confusing	ชวนสับสน
congress	รัฐสภา (สหรัฐฯ)
connect	เชื่อมต่อ
connected	ที่เชื่อมต่อกัน
connection	การเชื่อมโยง, สายสัมพันธ์
conscious	มีสติรู้ตัว
consequence	ผลลัพธ์ที่ตามมา
conservative	อนุรักษนิยม
consider	พิจารณา
consideration	การไตร่ตรอง, ความเกรงใจ
consist	ประกอบด้วย
consistent	คงเส้นคงวา, สม่ำเสมอ
constant	คงที่, ต่อเนื่องไม่หยุด
constantly	อยู่ตลอดเวลา
construct	ก่อสร้าง
construction	งานก่อสร้าง
consume	บริโภค
consumer	ผู้บริโภค
contact	การติดต่อ
contain	บรรจุ, มีอยู่ภายใน
container	ภาชนะ, ตู้คอนเทนเนอร์
contemporary	ร่วมสมัย
content	เนื้อหา
contest	การประกวด
context	บริบท
continent	ทวีป
continue	ดำเนินต่อไป
continuous	ต่อเนื่อง
contract	สัญญา (เอกสาร)
contrast	ความแตกต่างตรงข้าม
contribute	มีส่วนช่วย, สมทบ
contribution	การมีส่วนร่วม, เงินสมทบ
control	การควบคุม
convenient	สะดวก
conversation	บทสนทนา
convert	แปลงเปลี่ยน
convince	โน้มน้าวใจ
convinced	เชื่อสนิทใจ
cook	ทำอาหาร
cookie	คุกกี้
cooking	การทำอาหาร
cool	เย็นสบาย, เท่
copy	สำเนา
core	แก่นกลาง
corn	ข้าวโพด
corner	มุม, หัวมุม
corporate	ขององค์กรบริษัท
correct	ถูกต้อง
correctly	อย่างถูกต้อง
cost	ราคา, ต้นทุน
costume	ชุดแฟนซี, เครื่องแต่งกาย
cotton	ฝ้าย
could	สามารถ (อดีตของ can)
council	สภาท้องถิ่น
count	นับ
country	ประเทศ
countryside	ชนบท
county	เทศมณฑล, เคาน์ตี
couple	คู่รัก, สองสามอัน
courage	ความกล้าหาญ (ทางใจ)
course	หลักสูตร, คอร์ส
court	ศาล, สนามกีฬา
cousin	ลูกพี่ลูกน้อง
cover	ปกคลุม, ครอบคลุม
covered	ที่ถูกปกคลุม
cow	วัว
crash	อุบัติเหตุรถชน, การพังครืน
crazy	บ้า, คลั่ง
cream	ครีม
create	สร้างสรรค์
creation	การสร้าง, ผลงานสร้างสรรค์
creative	มีความคิดสร้างสรรค์
creature	สิ่งมีชีวิต (สัตว์/อสูรกาย)
credit	เครดิต, สินเชื่อ
crew	ลูกเรือ, ทีมงาน
crime	อาชญากรรม
criminal	อาชญากร
crisis	วิกฤตการณ์
criterion	เกณฑ์ตัดสิน
critic	นักวิจารณ์
critical	วิกฤต, ชอบติเตียน
criticism	คำวิจารณ์
criticize	วิจารณ์, ติเตียน
crop	พืชผล
cross	ข้าม (ถนน/แม่น้ำ)
crowd	ฝูงชน
crowded	แออัด
crucial	สำคัญยิ่งยวด
cruel	โหดร้าย
cry	ร้องไห้
cultural	ทางวัฒนธรรม
culture	วัฒนธรรม
cup	ถ้วย
cupboard	ตู้ถ้วยชาม, ตู้เก็บของ
cure	รักษาให้หาย
curly	หยิก (ผม)
currency	สกุลเงิน
current	ปัจจุบัน
currently	ในขณะนี้
curtain	ผ้าม่าน
curve	เส้นโค้ง
curved	ที่โค้ง
custom	ขนบธรรมเนียม
customer	ลูกค้า (ผู้ซื้อ)
cut	ตัด
cycle	วัฏจักร, รอบ
dad	พ่อ (ภาษาพูด)
daily	ประจำวัน
damage	ความเสียหาย
dance	การเต้นรำ
dancer	นักเต้น
dancing	การเต้น
danger	อันตราย
dangerous	ที่เป็นอันตราย
dark	มืด
data	ข้อมูล
date	วันที่, การออกเดต
daughter	ลูกสาว
day	วัน
dead	ตาย
deal	จัดการ, รับมือ
dear	ที่รัก
death	ความตาย
debate	การโต้วาที, การอภิปราย
debt	หนี้สิน
decade	ทศวรรษ
December	เดือนธันวาคม
decent	พอใช้ได้, เหมาะสมดี
decide	ตัดสินใจ
decision	การตัดสินใจ
declare	ประกาศอย่างเป็นทางการ
decline	ลดถอยลง, ปฏิเสธ
decorate	ตกแต่ง
decoration	ของตกแต่ง
decrease	ลดลง
deep	ลึก
deeply	อย่างลึกซึ้ง
defeat	ปราบ, ทำให้พ่ายแพ้
defend	ปกป้อง, แก้ต่าง
defense	การป้องกัน
define	นิยาม, กำหนดความหมาย
definite	แน่นอน, ชัดแจ้ง
definitely	แน่นอนอยู่แล้ว
definition	คำนิยาม
degree	องศา, ปริญญา
delay	เลื่อนเวลา, ทำให้ล่าช้า
deliberate	จงใจ
