"id","word","definition"
1,"a","used before countable or singular nouns referring to people or things that have not already been mentioned"
2,"relatable","making you feel that you can understand and have sympathy with somebody/something"
3,"relapse","to go back into a previous condition or into a worse state after making an improvement"
4,"dedicate","to give a lot of your time and effort to a particular activity or purpose because you think it is important"
5,"sibylline","mysterious and difficult to understand"
6,"blame","to think or say that someone or something is responsible for something bad"
7,"building","[countable] a structure such as a house, school, or factory that has a roof and walls"
8,"laboratory
","a room or building used for scientific research, experiments, testing, etc."
9,"language","the system of communication in speech and writing that is used by people of a particular country or area"
10,"liberal","willing to understand and respect other people's behavior, opinions, etc., especially when they are different from your own; believing people should be able to choose how they behave"
11,"dog","furry and big"
