a, an	หนึ่ง, คำนำหน้านามไม่ชี้เฉพาะ
abandon	ละทิ้ง, ทอดทิ้ง
ability	ความสามารถ
able	สามารถ
about	เกี่ยวกับ
above	เหนือ, ข้างบน
abroad	ต่างประเทศ
absolute	สมบูรณ์, เด็ดขาด
absolutely	อย่างแน่นอนที่สุด
academic	ทางวิชาการ
accept	ยอมรับ
acceptable	ยอมรับได้
access	การเข้าถึง
accident	อุบัติเหตุ
accompany	ไปเป็นเพื่อน, ติดตาม
according to	ตามที่...กล่าว
account	บัญชี
accurate	แม่นยำ, ถูกต้อง
accuse	กล่าวหา
achieve	บรรลุผล, ทำสำเร็จ
achievement	ความสำเร็จ
acknowledge	ยอมรับว่าจริง, รับทราบ
acquire	ได้มา, ครอบครอง
across	ข้าม, ฝั่งตรงข้าม
act	กระทำ, แสดง
action	การกระทำ
active	กระตือรือร้น, แอคทีฟ
activity	กิจกรรม
actor	นักแสดงชาย
actress	นักแสดงหญิง
actual	ที่แท้จริง
actually	จริงๆ แล้ว
ad	โฆษณา (คำย่อ)
adapt	ปรับตัว, ดัดแปลง
add	เพิ่ม, บวก
addition	การเพิ่มเติม, การบวก
additional	เพิ่มเติม
address	ที่อยู่
administration	การบริหารงาน
admire	ชื่นชม
admit	ยอมรับ (ความผิด/ความจริง)
adopt	รับเลี้ยงเป็นบุตร, นำมาใช้
adult	ผู้ใหญ่
advance	ความก้าวหน้า, การรุกไป
advanced	ขั้นสูง, ก้าวหน้า
advantage	ข้อได้เปรียบ
adventure	การผจญภัย
advertise	ลงโฆษณา
advertisement	ชิ้นงานโฆษณา
advertising	วงการโฆษณา, การโฆษณา
advice	คำแนะนำ
advise	ให้คำแนะนำ
affair	เรื่องราว, กิจธุระ
affect	ส่งผลกระทบ
afford	มีเงินพอจะซื้อ/ทำ
afraid	กลัว
after	หลังจาก
afternoon	ตอนบ่าย
afterward	ภายหลัง, หลังจากนั้น
again	อีกครั้ง
against	ต่อต้าน, ปะทะกับ
age	อายุ
agency	หน่วยงาน, เอเจนซี
agenda	วาระการประชุม
agent	ตัวแทน, เอเยนต์
aggressive	ก้าวร้าว
ago	ที่ผ่านมาแล้ว, ก่อน
agree	เห็นด้วย
agreement	ข้อตกลง
ah	อ้า! (คำอุทาน)
ahead	ข้างหน้า, ล่วงหน้า
aid	ความช่วยเหลือ
aim	เล็งเป้า, มุ่งหมาย
air	อากาศ
aircraft	อากาศยาน
airline	สายการบิน
airport	สนามบิน
alarm	สัญญาณเตือน, นาฬิกาปลุก
album	อัลบั้ม
alcohol	แอลกอฮอล์, เหล้า
alcoholic	ที่มีแอลกอฮอล์
alive	มีชีวิตอยู่
all	ทั้งหมด
all right	โอเค, เรียบร้อยดี
allow	อนุญาต
almost	เกือบ
alone	ลำพัง, คนเดียว
along	ไปตามทาง
already	เรียบร้อยแล้ว
also	ด้วยเช่นกัน
alter	เปลี่ยนแปลงแก้ไข
alternative	ทางเลือกอื่น
although	ถึงแม้ว่า
always	เสมอ
amazed	รู้สึกทึ่ง
amazing	น่าทึ่ง
ambition	ความทะเยอทะยาน
among	ท่ามกลาง
amount	จำนวน, ปริมาณ
analysis	การวิเคราะห์
analyze	วิเคราะห์
ancient	โบราณ
and	และ
anger	ความโกรธ
angle	มุม
angry	โกรธ
animal	สัตว์
ankle	ข้อเท้า
anniversary	วันครบรอบ
announce	ประกาศ
announcement	คำประกาศ
annoy	ทำให้รำคาญ
annoyed	รู้สึกรำคาญ
annoying	น่ารำคาญ
annual	ประจำปี
another	อีกอันหนึ่ง
answer	คำตอบ
anxious	วิตกกังวล
any	ใดๆ ก็ตาม
anybody	ใครก็ตาม (คนใดคนหนึ่ง)
anymore	อีกต่อไป
anyone	ใครก็ได้
