surround	ห้อมล้อม
surrounding	ที่อยู่รายรอบ
survey	แบบสำรวจ
survive	รอดชีวิต
suspect	สงสัยว่า (น่าจะผิด)
swear	สาบาน, สบถ
sweater	เสื้อกันหนาวถัก, สเวตเตอร์
sweep	กวาด
sweet	หวาน
swim	ว่ายน้ำ
swimming	การว่ายน้ำ
switch	สับเปลี่ยน, สวิตช์
symbol	สัญลักษณ์
sympathy	ความเห็นอกเห็นใจ
symptom	อาการ (ของโรค)
system	ระบบ
table	โต๊ะ
tablet	แท็บเล็ต, ยาเม็ด
tail	หาง
take	เอาไป, หยิบ
tale	นิทาน, เรื่องเล่าขาน
talent	พรสวรรค์
talented	มีพรสวรรค์
talk	คุย
tall	สูง (รูปร่าง/สิ่งก่อสร้าง)
tank	ถังเก็บน้ำ, รถถัง
tape	เทป
target	เป้า, เป้าหมายตัวเลข
task	ภารกิจ, งานย่อย
taste	รสชาติ
tax	ภาษี
taxi	แท็กซี่
tea	ชา
teach	สอน
teacher	ครู
teaching	การสอน
team	ทีม
tear	ฉีกขาด
technical	ทางเทคนิค
technique	เทคนิค, กลวิธี
technology	เทคโนโลยี
teenage	วัยรุ่น (คุณศัพท์)
teenager	วัยรุ่น
telephone	โทรศัพท์ (เครื่อง)
television	โทรทัศน์
tell	บอก
temperature	อุณหภูมิ
temporary	ชั่วคราว
ten	สิบ
tend	มักจะ
tennis	เทนนิส
tent	เต็นท์
term	เทอม, ศัพท์เฉพาะ
terrible	เลวร้าย
test	การทดสอบ
text	ข้อความตัวหนังสือ
than	กว่า (เปรียบเทียบ)
thank	ขอบคุณ
thanks	ขอบใจ
that	นั่น, ที่ว่า
the	เดอะ (คำนำหน้านามชี้เฉพาะ)
theater	โรงละคร, โรงหนัง
their	ของพวกเขา
theirs	ของพวกเขา (สรรพนามแสดงเจ้าของ)
them	พวกเขา (กรรม)
theme	แก่นเรื่อง, ธีม
themselves	ตัวพวกเขาเอง
then	จากนั้น, ตอนนั้น
theory	ทฤษฎี
therapy	การบำบัด
there	ที่นั่น
therefore	เพราะฉะนั้น
they	พวกเขา
thick	หนา
thief	หัวขโมย
thin	บาง, ผอม
thing	สิ่งของ
think	คิด
thinking	การคิด, แนวคิด
third	ลำดับที่สาม
thirsty	กระหายน้ำ
thirteen	สิบสาม
thirty	สามสิบ
this	นี่, อันนี้
though	แม้ว่า, แต่ทว่า
thought	ความคิด (ที่ผุดขึ้น)
thousand	หนึ่งพัน
threat	ภัยคุกคาม
threaten	ข่มขู่, คุกคาม
three	สาม
throat	ลำคอ
through	ผ่าน, ทะลุ
throughout	ทั่วทั้ง, ตลอดทั้ง
throw	ขว้าง, โยน
Thursday	วันพฤหัสบดี
thus	ดังนี้, ด้วยเหตุนี้
ticket	ตั๋ว
tie	ผูก, เนคไท
tight	แน่น, คับ
till	จนกว่า
time	เวลา
tiny	จิ๋ว, กระจิริด
tip	ทิป, เคล็ดลับ, ปลายแหลม
tire	ยางรถ
tired	เหนื่อย
title	ชื่อเรื่อง, คำนำหน้า
to	ไปยัง, ถึง
today	วันนี้
toe	นิ้วเท้า
together	ด้วยกัน
toilet	โถส้วม, สุขา
tomato	มะเขือเทศ
tomorrow	พรุ่งนี้
ton	ตัน
tone	น้ำเสียง, โทน
tongue	ลิ้น
tonight	คืนนี้
too	เกินไป, ด้วย
tool	เครื่องมือ
tooth	ฟัน
top	ด้านบนสุด, ยอด
topic	หัวข้อ
total	ทั้งหมดรวมกัน
totally	ล้วนๆ, ร้อยเปอร์เซ็นต์
touch	สัมผัส, แตะ
tough	หิน (ยากแกร่ง), เหนียว
tour	ทัวร์
tourism	การท่องเที่ยว
tourist	นักท่องเที่ยว
toward	มุ่งสู่, ไปทาง
towel	ผ้าเช็ดตัว
tower	หอคอย
town	เมืองเล็ก
toy	ของเล่น
track	ลู่วิ่ง, ร่องรอย
trade	การค้าขาย
tradition	ประเพณี
traditional	แบบดั้งเดิม
traffic	การจราจร
train	รถไฟ
trainer	เทรนเนอร์, ครูฝึกสอน
training	การฝึกอบรม
transfer	โอนย้าย
transform	แปลงโฉม, พลิกเปลี่ยน
transition	ช่วงเปลี่ยนผ่าน
translate	แปลภาษา
translation	บทแปล, การแปล
transport	ขนส่ง
transportation	ระบบขนส่ง
trash	ขยะ (อเมริกัน)
travel	เดินทางท่องเที่ยว
traveler	นักเดินทาง
treat	ปฏิบัติต่อ, รักษา, เลี้ยง
treatment	การรักษา, การปฏิบัติต่อ
tree	ต้นไม้
trend	เทรนด์, แนวโน้ม
trial	การพิจารณาคดี, การทดลองใช้
trick	กลอุบาย, ทริค
trip	ทริปเดินทาง
tropical	เขตร้อน
trouble	ปัญหาความเดือดร้อน
truck	รถบรรทุก
true	เป็นความจริง
truly	อย่างแท้จริง
trust	ความไว้วางใจ
truth	ความจริง
try	พยายาม, ลอง
T-shirt	เสื้อยืด
tube	หลอด, ท่อกลม
Tuesday	วันอังคาร
tune	ทำนองเพลง
tunnel	อุโมงค์
turn	หมุน, เลี้ยว
TV	ทีวี
twelve	สิบสอง
twenty	ยี่สิบ
twice	สองครั้ง
twin	ฝาแฝด
two	สอง
type	ประเภท, พิมพ์ดีด
typical	เป็นแบบฉบับ, ตามสไตล์
typically	โดยทั่วไปมักจะ
ugly	น่าเกลียด
ultimately	ในบั้นปลาย, ท้ายที่สุดแล้ว
umbrella	ร่ม
unable	ไม่สามารถ (ทำได้)
uncle	ลุง, น้าชาย, อาชาย
uncomfortable	อึดอัด, ไม่สบายตัว
unconscious	หมดสติ
under	ใต้
underground	ใต้ดิน
understand	เข้าใจ
understanding	ความเข้าใจ
underwear	ชุดชั้นใน
unemployed	ตกงาน
unemployment	การว่างงาน
unexpected	ไม่คาดคิด
unfair	ไม่ยุติธรรม
unfortunately	โชคร้ายที่, น่าเสียดายที่
unhappy	ไม่มีความสุข
uniform	เครื่องแบบ
union	สหภาพ
unique	มีเอกลักษณ์, หนึ่งเดียว
unit	หน่วย
united	ที่รวมเป็นหนึ่ง, สามัคคี
universe	จักรวาล
university	มหาวิทยาลัย
unknown	ไม่เป็นที่รู้จัก, นิรนาม
unless	เว้นเสียแต่ว่า
unlike	ผิดกับ, ต่างจาก
unlikely	ไม่น่าจะเป็นไปได้
unnecessary	ไม่จำเป็น
unpleasant	ไม่น่าอภิรมย์, น่าระอา
until	จนกระทั่ง
unusual	ไม่ธรรมดา, ผิดแปลก
up	ขึ้น, ข้างบน
update	อัปเดต
upon	บน (ทางการ)
upper	ส่วนบน
upset	หัวเสีย, เสียใจ
upstairs	ชั้นบน
upward	มุ่งขึ้นข้างบน
urban	ในเขตเมือง
urge	เร่งเร้า, กระตุ้นให้รีบทำ
us	พวกเรา (กรรม)
use	ใช้
used	มือสอง, ที่ใช้แล้ว
used to	เคย (ทำเป็นประจำ)
useful	มีประโยชน์ใช้สอย
user	ผู้ใช้
usual	ตามปกติเช่นเคย
usually	โดยปกติแล้ว
vacation	วันหยุดพักร้อน
valley	หุบเขา
valuable	มีค่า
value	คุณค่า, มูลค่า
van	รถตู้
variety	ความหลากหลาย
various	หลากหลายชนิด
vary	ผันแปร, แตกต่างกันไป
vast	กว้างใหญ่ไพศาล
vegetable	ผัก
vehicle	ยานพาหนะ
venue	สถานที่จัดงาน
version	เวอร์ชัน, ฉบับ
very	มาก
via	ผ่านทาง
victim	เหยื่อ, ผู้เคราะห์ร้าย
victory	ชัยชนะ
video	วิดีโอ
view	ทิวทัศน์, มุมมองความเห็น
viewer	ผู้ชม (ทางจอ)
village	หมู่บ้าน
violence	ความรุนแรง
violent	ที่ใช้ความรุนแรง
virtual	เสมือนจริง
virus	ไวรัส
vision	วิสัยทัศน์, การมองเห็น
visit	เยี่ยมเยือน
visitor	ผู้มาเยือน
visual	ทางสายตา, เชิงภาพ
vital	สำคัญต่อชีวิต, ขาดไม่ได้
vitamin	วิตามิน
voice	เสียงพูด
volume	ระดับเสียง, ปริมาตร
volunteer	อาสาสมัคร
vote	การลงคะแนนเสียง
wage	ค่าแรง
wait	รอ
waiter	บริกร, เด็กเสิร์ฟ
wake	ตื่นนอน
walk	เดิน
wall	กำแพง, ผนัง
want	อยากได้, ต้องการ
war	สงคราม
warm	อบอุ่น
warn	เตือนภัย
warning	คำเตือน
wash	ล้าง, ซัก
washing	การซักล้าง
waste	ของเสีย, การสูญเปล่า
watch	ดู, เฝ้ามอง
water	น้ำ
wave	คลื่น
way	หนทาง, วิธี
we	พวกเรา
weak	อ่อนแอ
weakness	จุดอ่อน
wealth	ความมั่งคั่ง
wealthy	มั่งคั่งร่ำรวย
weapon	อาวุธ
wear	สวมใส่
weather	สภาพอากาศ
web	เว็บ, ใยแมงมุม
website	เว็บไซต์
wedding	งานแต่งงาน
Wednesday	วันพุธ
week	สัปดาห์
weekend	วันหยุดสุดสัปดาห์
weigh	ชั่งน้ำหนัก
weight	น้ำหนัก
welcome	ยินดีต้อนรับ
well	อย่างดี, สบายดี
west	ทิศตะวันตก
western	ฝั่งตะวันตก, สไตล์ตะวันตก
wet	เปียก
what	อะไร
whatever	อะไรก็ตาม
wheel	ล้อ
when	เมื่อไหร่
whenever	เมื่อไหร่ก็ตาม
where	ที่ไหน
whereas	ในขณะที่ (ตรงข้ามกัน)
wherever	ที่ไหนก็ตาม
whether	ว่า...หรือไม่
which	อันไหน, ซึ่ง
while	ในขณะที่
whisper	กระซิบ
white	สีขาว
who	ใคร
whole	ทั้งหมด, ทั้งก้อน
whom	ผู้ซึ่ง (กรรม)
whose	ของใคร
why	ทำไม
wide	กว้าง
widely	อย่างกว้างขวาง
wife	ภรรยา
wild	ป่าเถื่อน, ตามธรรมชาติ
wildlife	สัตว์ป่า
will	จะ
willing	เต็มใจ
win	ชนะ
wind	ลม
window	หน้าต่าง
wine	ไวน์
wing	ปีก
winner	ผู้ชนะ
winter	ฤดูหนาว
wire	สายไฟ, ลวด
wise	เฉลียวฉลาดสุขุม
wish	ปรารถนา, อวยพร
with	กับ, ด้วย
within	ภายใน (ขอบเขต/เวลา)
without	โดยปราศจาก
witness	พยาน (ผู้เห็นเหตุการณ์)
woman	ผู้หญิง
wonder	สงสัยใคร่รู้
wonderful	วิเศษมาก
wood	ไม้ (วัสดุ)
wooden	ทำจากไม้
wool	ขนแกะ
word	คำศัพท์
work	ทำงาน
worker	คนงาน
working	ที่กำลังทำงาน, วัยทำงาน
world	โลก (สังคมมนุษย์)
worldwide	ทั่วโลก
worried	กังวลใจ
worry	กังวล
worse	แย่ลง, แย่กว่า
worst	แย่ที่สุด
worth	คุ้มค่า
would	จะ (อดีต/สุภาพ)
wound	บาดแผล
wow	ว้าว!
wrap	ห่อ
write	เขียน
writer	นักเขียน
writing	งานเขียน, การเขียน
written	ที่เป็นลายลักษณ์อักษร
wrong	ผิด
yard	สนามหญ้าหน้าบ้าน, หลา
yeah	ใช่เลย (ภาษาพูด)
year	ปี
yellow	สีเหลือง
yes	ใช่, ครับ/ค่ะ
yesterday	เมื่อวานนี้
yet	ยัง (ไม่...เลย)
you	คุณ, เธอ
young	อายุน้อย, เยาว์วัย
your	ของคุณ
yours	ของคุณ (สรรพนามแสดงเจ้าของ)
yourself	ตัวคุณเอง
youth	เยาวชน, วัยหนุ่มสาว
zero	ศูนย์
zone	โซน, เขตพื้นที่
