id,word,definition
1,A bed of roses,a phrase used to reference a situation that is easy or comfortable
2,A Priori,something that is believed to be true without actual reinforcement with facts or statistics
3,Aardvark,"a large, long-eared nocturnal animal that uses its long tongue to eat ants and termites"
4,Aback ,in amazement; shocked
5,Abaft,toward the stern; behind
6,Abandon,to stop caring and leave or to desert
7,Abase,to lower so as to hurt feelings
8,Abaser,someone who degrades or lowers someone
9,Abash,to humiliate someone and make them feel embarrassed or ashamed
10,Abate,to reduce in degree or intensity
11,Abatement,reduction or weakening or something
12,Abattoir,a place where animals are taken to slaughter
13,Abbess,the female superior of a community of nuns
14,Abbreviate,to shorten a word or phrase
15,Abdicate,to stop accepting a particular responsibility or obligation that you have
16,Abdominal,"related to the abdomen/stomach, or the part between the thorax and the pelvis"
17,Abduct,to grab an individual by trickery or force
18,Abecedarian,alphabetical
19,Aberrant,straying from the normal or right way
20,Aberration,"deviating from what is normal or desirable, not typical"
21,Abet,to encourage or support a behavior or action
22,Abeyance,a state of temporary disuse or suspension
23,Abhor,to reject something very strongly; hate
24,Abhorrence,a strong feeling of hate paired with a feeling of loathing
25,Abhorrent,causing or deserving strong dislike or hatred
26,Abide ,tolerate an unpleasant thing or person; endure
27,Ability,the skill or capability to do something
28,Abiotic,abiotic means something that is sterile; not from living organisms
29,Abject,cast down in spirit or hope
30,Abjure,to give up a belief or an activity
31,Ablaze,burning fiercely; in a blaze; on fire
32,Able-bodied,physically strong and healthy
33,Able,having the capability of doing something
34,Ablution,the act of washing or cleansing
35,Abnegation,the act of rejecting or refusing something 
36,Abnormal,out of the ordinary; unusual
37,Abnormality,a feature that is not normal or average
38,Aboard,"on board, into or within a ship or boat"
39,Abode ,the place where one resides or lives
40,Abolish,to put an end to
41,Abolition,the action of putting an end to something
42,Abolitionist,one who supports the elimination of practices or laws that are viewed as dangerous
43,Abominable,horrible; terrible
44,Abominate,to despise intensely
45,Abomination,something that is hated
46,Aboriginal,associated with being part of the original population; native
47,Abort,to stop something from happening any longer; to discontinue
48,Abortive ,an unproductive attempt
49,Abound,available in large quantity or number
50,Above,overhead or directly over the head
51,Above,at a higher layer or level than something else
52,Abraded,"to produce damage or irritation by scraping, rubbing, or crushing"
53,Abrasion,a spot or area that has been scraped or harshly rubbed
54,Abrasive,unlikeable; nasty
55,Abreast,remaining up to date on a topic
56,Abridge,to make shorter
57,Abroad,in foreign countries
58,Abrogate,to abolish; to do away with
59,Abrupt,without notice; sudden
60,Abruption,a sudden breaking away
61,Abruptly ,suddenly; without notice
62,Abscess,cavity filled with pus
63,Abscission,the natural shedding of parts of a plant
64,Abscond,escape into hiding; to leave quickly and hide to avoid punishment
65,Absence,being gone from a place or person
66,Absent-minded,describes a person who is forgetful or constantly distracted
67,Absent,not present; not in a place one is expected to be
68,Absenteeism,the practice of missing school or work without good reason
69,Absolute,"complete or total, undisputable"
70,Absolutely,"with no limitation, restriction, or caveat"
71,Absolution,"setting free from guilt, sin or penalty; forgiveness of an offense"
72,Absolve,"to make (someone) free from guilt, responsibility, etc."
73,Absorb,to take in or soak up a substance
74,Absorption,the act by which one substance takes in something or is taken in
75,Absquatulate,to depart hurriedly
76,Abstain,restrain oneself from doing or enjoying something
77,Abstemious,marked by moderation and holding back on indulgence
78,Abstention,a decision to not vote for or against a proposition
79,Abstinence,the act of not taking part in something
80,Abstract,being present as an idea but not in a definite form
81,Abstruse,difficult to understand
82,Absurd,"ridiculous, silly, foolish"
83,Absurdity,the quality of being ridiculous
84,Abundance,a large quantity; many
85,Abundant ,an ample amount
86,Abuse,Improper treatment
87,Abuse,to treat a person or animal in a cruel or mean way
88,Abuse,to mistreat or misuse something
89,Abusive,describing continuous violence or cruelty towards something or someone
90,Abut,to touch or lean on
91,Abysmal,very bad
92,Abyss,an area that appears endless and immeasurable
93,Academia,"the environment associated with researching, teaching, and learning at a college or university "
94,Academic,school-related; educational
95,Academy,a school or place of training in which some special art is taught
96,Accede,to agree with someone or give in to his or her wish
97,Accelerate,to increase the motion or growth
98,Acceleration,an escalation in pace or speed
99,Accent,a distinctive pronunciation of language often associated by nationality or culture
100,Accentuate,to highlight 
101,Accept,to agree to take or receive
102,Acceptable,satisfactory; adequate
103,Acceptance,the act of taking/receiving something that is being offered
104,Accepting,agreeing to take or receive something
105,Access,gain entrance to
106,Accessible,capable of being accessed
107,Accessory,"an article that completes one's basic outfit, such as a scarf or gloves"
108,Accident,unexpected event with negative consequences
109,Accidental,something happening unplanned or unforeseen
110,Acclaim,public praise and applause
111,Acclamation,loud praise or approval
112,Acclimate,to adapt to a new place or different conditions
113,Acclivity,an upward slope
114,Accolade,an acknowledgement or an award
115,Accommodate,to fulfill a request or meet the needs of 
116,Accommodating,inclined to make happy or content
117,Accommodation,"a place for someone to live, stay, or work"
118,Accompanied,joined by an item or a companion 
119,Accompaniment, a thing which is provided as a supplement to something else
120,Accompany,to go along with something or someone
121,Accompanying,appearing or going along with someone or something else
122,Accomplice,a person who helps another person perform a task that is usually criminal in nature
123,Accomplish,to achieve or complete something
124,Accomplished,to have achieved or completed something successfully
125,Accomplishment,a goal or success that is achieved because of hard work
126,Accord,agreement or concurrence of opinion
127,Accordance,to be in compliance with something or someone
128,Accordingly,in a suitable way
129,Accosted,forcefully confronted
130,Account,a statement of facts or occurrences
131,Accountability,the state of being accountable; responsible for
132,Accountable,held as liable for a person or thing
133,Accounting,the system of recording and managing financial transactions and accounts
134,Accoutrement,an accessory used in a specific situation or for a specific task
135,Accredit,to bestow official approval upon 
136,Accreditation,"formal endorsement of a person, school program, or organization"
137,Accretion,act of increasing by natural growth
138,Accrue,increase
139,Acculturation,a course by which a person’s or group’s culture is altered as a result of contact with another culture
140,Accumulate,to pile up or collect
141,Accuracy,the state of being correct or precise
142,Accurate,without mistakes
143,Accurately,"exactly, precisely"
144,Accusation,a charge or claim against someone in which they are accused of doing something wrong or illegal
145,Accusation,a charge or claim that someone has done something illegal or wrong
146,Accusatory,blaming a person or group for something
147,Accuse,attribute blame to someone
148,Accustom,to make familiar by use
149,Acerb,"sour, bitter, and sharp in taste"
150,Acerbic,expressing harsh or sharp criticism in a clever way
151,Acerbity ,"roughness or harshness, as in language or temperament"
152,Ache,"continious, but not strong pain"
153,Achieve,to successfully get or accomplish
154,Achievement,a thing done successfully
155,Achilles Heel,a crippling weakness in an otherwise impenetrable object
156,Achromatic,"for something to be colorless usually with black, white and grays"
157,Acidulous,harsh in manner or flavor
158,Acknowledge,to confirm or admit the truth about something
159,Acknowledgment,the act of recognizing or admitting the truth of something
160,Acme,the highest peak that is reachable
161,Acoustic,relating to sound or hearing
162,Acquaint,to become at ease with
163,Acquaintance,a person one knows slightly but not well
164,Acquainted,familiar with a specific subject or person
165,Acquiesce,to agree or express agreement
166,Acquiescent,"willing to acquiesce, accept or agree to something without objection, protest or resistance"
167,Acquire,to obtain something
168,Acquisition,the thing acquired or gained; a gain.
169,Acquisitive,eager and capable of making acquisitions 
170,Acquittal,a setting free from the charge of an offense or verdict
171,Acquitted,found innocent of a charge or accusation
172,Acrid,bitter and unpleasant in taste or smell
173,Acrimonious ,angry in tone; bitter
174,Acrimony,a sharp and bitter hatred
175,Acrobat,"an athlete who performs acts requiring skill, agility and coordination."
176,Acronym,a term created out of the first letters of a multi-word phrase
177,Acrophobia,an unusual dread of elevated places
178,Acropolis,a stronghold or sanctuary used for defensive and religious purposes in ancient Grecian cities
179,Across,from one side to another
180,Action,combat; battle
181,Activate,to trigger or start something
182,Activism,a strategy of undertaking direct action to achieve a social or political goal
183,Activist,a person who campaigns for some kind of social change
184,Activity,"something that people do, usually with a particular aim or goal in mind"
185,Actual,Real or concrete
186,Actuality,the state of existing; existence
187,Actuate,to trigger a movement or action
188,Acuity,"sharpness in relation to thought, vision, or hearing"
189,Acumen,experience or expertise in something
190,Acupuncture,a medical practice in which thin needles are inserted into specific points of the body as a way to relieve pain or treat disease
191,Acute,extremely pressing; critical
192,Acuteness,sharpness; insight
193,Ad hoc,made for a particular reason
194,Ad hominem,a statement made during an argument or debate that is a personal attack or insult against the other person and not their opinion/stance
195,Ad nauseam,refer to something has been done or repeated so often that it has become annoying
196,Adage,old saying that has come to be accepted as truth over time
197,Adamant,refusing to be persuaded; cannot change one's mind
198,Adamantine,unyielding; firm and unbreakable
199,Adapt,get used to something new or change to fit
200,Adaptable,able to change
201,Adaptation,an alteration that makes an animal or thing more suitable for a certain environment
202,Addend,a number added to another number
203,Addendum,something to be added; especially text added as an appendix or supplement to a document
204,Addict,someone that is obsessed with something to an extent where they suffer withdrawal without it
205,Addictive,something that is easy to be addicted to; easy to develop a reliance on
206,Additional,added or extra
207,Additionally,used in the place of ‘also’ or to introduce extra facts
208,Addle,to cause a person’s thoughts to become jumbled or confused
209,Addled,incapable of thinking in a clear manner
210,Address,a description of the location of a property
211,Adduce,to produce as support during a discussion or argument
212,Adduction,the act of bringing a body part usually an arm or leg inward to the middle part of the body
213,Adept,very good at doing something that is not easy
214,Adequacy,being satisfactory or acceptable
215,Adequacy,"the quality of being sufficient, adequate or able to meet the needs"
216,Adequate,enough; good enough
217,Adhere,conform to or follow rules exactly
218,Adherence,faithful support for a cause 
219,Adherent,"a material that sticks to other things or a person who supports a particular party, person, or set of ideas"
220,Adhesion,a substance’s ability to attach to another substance
221,Adhesive,sticky
222,Adieu,"a farewell, a goodbye; especially a fond farewell, or a lasting or permanent farewell"
223,Adjacent,"lying next to, close, or contiguous; neighboring"
224,Adjoining,next to or joined with something else
225,Adjourn ,to suspend or conclude an event
226,Adjudge,to view or determine something in a particular manner
227,Adjudicate ,to make a decision on an issue
228,Adjunct,"something that is joined or added to another thing, but not part of the whole"
229,Adjure,request or urge someone to do something
230,Adjust,to change something a little so that it fits or works better
231,Adjustment,a small change that improves something or makes it work better
232,Adjutant,A military officer that is an administrative assistant to a senior officer
233,Administer,to supply or give out something
234,Administer,"to give, handout, or dispense"
235,Administration,the process of running some sort of organization
236,Admirable,worthy of respect and admiration
237,Admiration,a sentiment of esteem and respect
238,Admire,to hold a thing or person in high esteem
239,Admissible,something that is allowed or considered appropriate
240,Admit,"to acknowledge that something is real, valid, or true"
241,Admittedly,certainly; definitely
242,Admonish,to scold; to warn strongly
243,Admonition,a warning or reprimand given with advice
244,Admonitory,conveying a warning
245,Ado,"trouble, difficulty, or complications"
246,Adobe,sundried bricks made of clay
247,Adolescence,the time period when a young person becomes a grownup
248,Adonis,a very handsome young man
249,Adopt,a legal process to take care of another’s biological child as your own
250,Adoptive,related to someone through adoption (becoming a parent or child of someone not by birth)
251,Adoptive,related through adoption
252,Adorable,charming and easy to love because it is so attractively cute
253,Adoration,"deep love, devotion, and respect"
254,Adore,"to idolize or worship something, or to love it very much"
255,Adorn,make more attractive or beautiful
256,Adornment,an ornament or decoration that adds attractiveness
257,Adrenaline,"a chemical produced by your adrenal glands that gives you a rush of energy when you are frightened, excited, or angry"
258,Adrift,uncontrolled floating on water 
259,Adroit,clever or skillful
260,Adscititious,additional or external; coming from an outside source
261,Adulation,"great praise for someone, often more than what is deserved"
262,Adulterate,to make a substance less pure by adding something else to it
263,Adultery,sexual activity between a married person and someone other than their spouse
264,Adulthood,the state or condition of being fully grown or mature
265,Adumbrate,to create an outline or a faint shadow 
266,Advance,before; ahead of time
267,Advanced,progressive; complex or of a higher order
268,Advantage,a condition or circumstance that gives someone a greater chance of success
269,Advantageous,helpful or useful and likely to make you more successful
270,Advent,the coming or arrival of something
271,Adventitious,not natural; foreign
272,Adventure,an exciting or dangerous experience
273,Adventuresome,adventurous or prone to going on adventures
274,Adventurous,daring; brave
275,Adversary,"one's opponent in a contest, conflict, or dispute"
276,Adverse,"negative, harmful, or unpleasant"
277,Adversely,in a negative or bad way
278,Adversity,a difficult situation or condition; misfortune
279,Advert,an advertisement
280,Advertise,to provide information about a person or goods and services to influence others 
281,Advice,"an opinion recommended or offered, as worthy to be followed; counsel"
282,Advisable,worthy of being recommended; desirable
283,Advise,to offer suggestions to a person or group
284,Advisement,advice that is both carefully considered and thought out before given
285,Advisory,an official announcement that usually serves as a warning to the public
286,Advocacy,the practice of supporting someone to make their voice heard 
287,Advocate,to publicly support a particular policy or way of doing things
288,Aegis,"under the influence or protection of a specific individual, body, or government"
289,Aerate,to cause air to circulate through something
290,Aerial,happening in the air
291,Aerie,a nest built in a high place by a predatory bird 
292,Aerobic,activity used to strengthen the heart and lungs by making them work hard for several minutes
293,Aerodynamics,the study of air and how it works when an object moves through it
294,Aeronautics,the science of flight
295,Aerosol,substances confined under pressure and typically released in the form of a spray
296,Aerospace,"the atmosphere of the Earth and the region of space around it; the industry concerned with aircraft, missiles, satellites and spacecraft"
297,Aesthete,"one who strongly appreciates beauty, art and music"
298,Aesthetic,concerning or characterized by an appreciation of beauty or good taste
299,Afar,in a distant area
300,Afebrile,having no fever
301,Affable,"friendly, good-natured, or easy to talk to"
302,Affair,an issue or concern that is handled
303,Affect,to change or influence
304,Affectation,an unnatural form of behavior that is meant to impress others
305,Affection,a feeling of love or strong attachment
306,Affectionate,loving
307,Affidavit ,a statement made under oath that is verified by a person of authority
308,Affiliated,formally associated with a group or organization
309,Affiliation,the involvement or connection that somebody has with a religious or political organization
310,Affinity,a natural liking or attraction for someone or something
311,Affirm,to publicly verify something
312,Affirmation,an action of approval or support
313,Affix,"to stick, attach, or fasten"
314,Afflatus,a skill or gift that seems to be given by a God or higher power
315,Afflicted,"stricken, distressed, or impaired"
316,Affliction,"a state of pain, suffering, distress or agony"
317,Affluence,a situation in which one has a great amount of wealth
318,Affluent,"wealthy, rich"
319,Afford,have enough money to pay for something
320,Affray,a disruptive fight
321,Affright,fright; fear 
322,Affront,to do or say something that shows a lack of respect 
323,Aficionado,an expert or enthusiast who is extremely knowledgeable about a subject or activity
324,Afield,far away from their comfortable environment
325,Afloat,floating or balancing on top of liquid
326,Afoot ,in action
327,Aforementioned,regarding someone or something spoken about previously
328,Aforesaid,previously mentioned
329,Afraid,scared or frightened
330,Aftermath,the aftereffects or consequences of an unpleasant or destructive event
