least	น้อยที่สุด
leather	หนังสัตว์ (วัสดุ)
leave	จากไป, ทิ้งไว้
lecture	การบรรยาย, เลกเชอร์
left	ซ้าย
leg	ขา
legal	ถูกกฎหมาย, ทางกฎหมาย
leisure	เวลาว่างพักผ่อน
lemon	มะนาวเหลือง, เลมอน
lend	ให้ยืม
length	ความยาว
less	น้อยกว่า
lesson	บทเรียน
let	ปล่อยให้, อนุญาตให้
letter	จดหมาย, ตัวอักษร
level	ระดับ
library	ห้องสมุด
license	ใบอนุญาต
lie	โกหก, นอนลง
life	ชีวิต
lifestyle	วิถีชีวิต, ไลฟ์สไตล์
lift	ยกขึ้น
light	แสง, ไฟ
like	เหมือน, ชอบ
likely	มีแนวโน้มว่าจะ
limit	ขีดจำกัด
limited	มีจำกัด
line	เส้น, แถว
link	ลิงก์, ความเชื่อมโยง
lion	สิงโต
lip	ริมฝีปาก
liquid	ของเหลว
list	รายการ, ลิสต์
listen	ฟัง
listener	ผู้ฟัง
literature	วรรณกรรม
little	เล็กน้อย, จิ๋ว
live	อาศัยอยู่, มีชีวิต
lively	มีชีวิตชีวา
living	ที่ยังมีชีวิต, การครองชีพ
load	ของบรรทุก, ภาระ
loan	เงินกู้
local	ท้องถิ่น
locate	หาตำแหน่ง, ตั้งอยู่
located	ตั้งอยู่ที่
location	สถานที่ตั้ง, โลเคชัน
lock	ล็อก, ใส่กุญแจ
logical	สมเหตุสมผล, เป็นตรรกะ
lonely	เหงา, อ้างว้าง
long	ยาว, นาน
long-term	ระยะยาว
look	มอง, ดู
loose	หลวม
lord	ขุนนาง, เจ้านายผู้สูงศักดิ์
lose	แพ้, ทำหาย
loss	การสูญเสีย
lost	หลงทาง, สูญหาย
lot	จำนวนมาก
loud	เสียงดัง
loudly	อย่างเสียงดัง
love	ความรัก, รัก
low	ต่ำ
lower	ลดให้ต่ำลง
luck	โชค
lucky	โชคดี
lunch	อาหารกลางวัน
lung	ปอด
luxury	ความหรูหรา
machine	เครื่องจักร
mad	โกรธจัด, บ้าคลั่ง
magazine	นิตยสาร
magic	เวทมนตร์
mail	ไปรษณีย์, จดหมาย (ที่ส่ง)
main	หลัก, สำคัญที่สุด
mainly	เป็นหลัก
maintain	บำรุงรักษา, คงไว้
major	สำคัญ, วิชาเอก
majority	เสียงข้างมาก, ส่วนใหญ่
make	ทำ, ผลิต
male	เพศชาย
mall	ห้างสรรพสินค้า
man	ผู้ชาย
manage	บริหารจัดการ
management	การจัดการ, ฝ่ายบริหาร
manager	ผู้จัดการ
manner	กิริยามารยาท, ลักษณะท่าที
many	มากมาย (นับได้)
map	แผนที่
March	เดือนมีนาคม
mark	ทำเครื่องหมาย
market	ตลาด
marketing	การตลาด
marriage	การแต่งงาน, ชีวิตคู่
married	แต่งงานแล้ว
marry	แต่งงาน
mass	มวล, ปริมาณมหาศาล
massive	มโหฬาร
master	ปรมาจารย์, เจ้าสำนัก
match	การแข่งขัน (นัด), ไม้ขีด
matching	ที่เข้าชุดกัน
material	วัสดุ
math	คณิต (คำย่อ)
mathematics	คณิตศาสตร์
matter	เรื่อง, สสาร
maximum	สูงสุด
May	เดือนพฤษภาคม
maybe	บางที
mayor	นายกเทศมนตรี
me	ฉัน (กรรมของ I)
meal	มื้ออาหาร
mean	หมายความว่า
meaning	ความหมาย
means	วิถีทาง, เครื่องมือ
meanwhile	ในขณะเดียวกัน
measure	วัดขนาด
measurement	การวัด, ขนาดที่วัดได้
meat	เนื้อสัตว์
media	สื่อมวลชน
medical	ทางการแพทย์
medicine	ยารักษาโรค, แพทยศาสตร์
medium	ขนาดกลาง
meet	พบ, เจอกัน
