race	การแข่งความเร็ว, เชื้อชาติ
racing	การแข่งรถ/แข่งม้า
radio	วิทยุ
railroad	ทางรถไฟ
rain	ฝน
raise	ยกขึ้น, เลี้ยงดู
range	พิสัย, ช่วงกว้าง
rank	ยศ, อันดับ
rapid	รวดเร็วฉับพลัน
rapidly	อย่างรวดเร็วมาก
rare	หายาก
rarely	นานๆ ครั้ง
rate	อัตรา
rather	ค่อนข้างจะ
raw	ดิบ
reach	ไปถึง, เอื้อมถึง
react	ตอบสนอง
reaction	ปฏิกิริยา
read	อ่าน
reader	ผู้อ่าน
reading	การอ่าน
ready	พร้อม
real	จริง, แท้
realistic	สมจริง
reality	ความเป็นจริง
realize	ตระหนัก, นึกขึ้นได้
really	จริงๆ
reason	เหตุผล
reasonable	สมเหตุสมผล, ไม่แพงเกิน
recall	หวนนึกถึง, เรียกคืน
receipt	ใบเสร็จ
receive	ได้รับ
recent	เมื่อเร็วๆ นี้
recently	ไม่นานมานี้
reception	งานเลี้ยงรับรอง, แผนกต้อนรับ
recipe	สูตรอาหาร
recognize	จำได้
recommend	แนะนำ (เชียร์ให้)
recommendation	คำแนะนำ (ที่เชียร์)
record	สถิติ, บันทึก
recording	การบันทึกเสียง/ภาพ
recover	ฟื้นตัว
recycle	รีไซเคิล
red	สีแดง
reduce	ลดปริมาณ
reduction	การลดลง
refer	อ้างถึง
reference	เอกสารอ้างอิง
reflect	สะท้อน
refrigerator	ตู้เย็น
refuse	ปฏิเสธ (ไม่ยอมทำ)
regard	ถือว่าเป็น, นับว่า
region	ภูมิภาค
regional	ระดับภูมิภาค
register	ลงทะเบียน
regret	เสียใจ (กับสิ่งที่ทำ)
regular	สม่ำเสมอ, ขนาดปกติ
regularly	เป็นประจำ
regulation	กฎระเบียบ
reject	ปฏิเสธไม่รับ
relate	เกี่ยวข้องกับ
related	ที่สัมพันธ์กัน
relation	ความสัมพันธ์ (เชิงเชื่อมโยง)
relationship	ความสัมพันธ์ (ระหว่างคน)
relative	ญาติ, โดยเปรียบเทียบ
relatively	โดยเปรียบเทียบแล้ว
relax	ผ่อนคลาย
relaxed	รู้สึกผ่อนคลาย
relaxing	ชวนผ่อนคลาย
release	ปล่อยออก, วางจำหน่าย
relevant	ตรงประเด็น, เกี่ยวข้อง
reliable	ไว้ใจได้
relief	ความโล่งอก
religion	ศาสนา
religious	เคร่งศาสนา, ทางศาสนา
rely	พึ่งพิง
remain	ยังคงอยู่
remark	คำพูดแสดงความเห็น
remember	จดจำ
remind	เตือนความจำ
remote	ห่างไกล
remove	เอาออก, ถอดออก
rent	ค่าเช่า
repair	ซ่อมแซม
repeat	พูดซ้ำ, ทำซ้ำ
repeated	ซ้ำแล้วซ้ำเล่า
replace	แทนที่
reply	ตอบกลับ
report	รายงาน
reporter	ผู้สื่อข่าว
represent	เป็นตัวแทน
representative	ผู้แทน
reputation	ชื่อเสียง (ที่ผู้คนมอง)
request	คำขอ
require	กำหนดให้ต้องมี
requirement	ข้อกำหนด
rescue	กู้ภัย, ช่วยชีวิต
research	งานวิจัย
researcher	นักวิจัย
reservation	การจอง
reserve	เงินสำรอง, เขตสงวน
resident	ผู้พักอาศัย
resist	ขัดขืน, อดใจ
resolve	คลี่คลาย, แก้ข้อขัดแย้ง
resort	รีสอร์ต
resource	ทรัพยากร
respect	ความเคารพนับถือ
respond	ตอบรับ, ขานรับ
response	การตอบกลับ, ผลตอบรับ
responsibility	ความรับผิดชอบ
responsible	มีหน้าที่รับผิดชอบ
rest	การพักผ่อน, ส่วนที่เหลือ
restaurant	ร้านอาหาร
result	ผลลัพธ์
retain	เก็บรักษาไว้
retire	เกษียณ
retired	ที่เกษียณแล้ว
return	กลับคืน
reveal	เผยให้เห็น
review	รีวิว, การทบทวน
revise	ปรับแก้, ทบทวนบทเรียน
revolution	การปฏิวัติ
reward	รางวัลตอบแทน
rhythm	จังหวะดนตรี
rice	ข้าว
rich	รวย
rid	กำจัดทิ้ง
ride	ขี่
right	ถูกต้อง, ขวา
ring	แหวน, เสียงกริ่ง
rise	ขึ้นสูง (พระอาทิตย์/ราคา)
risk	ความเสี่ยง
river	แม่น้ำ
road	ถนน
robot	หุ่นยนต์
rock	หิน, ดนตรีร็อก
role	บทบาท
roll	กลิ้ง, ม้วน
romantic	โรแมนติก
roof	หลังคา
room	ห้อง
root	ราก
rope	เชือก
rough	ขรุขระ, หยาบ
round	กลม
route	เส้นทาง (รถ/เดินทาง)
routine	กิจวัตรประจำ
row	แถว (เรียงเป็นแนว)
royal	แห่งราชวงศ์
rub	ถู, นวดคลึง
rubber	ยาง
rude	หยาบคาย
rule	กฎ
run	วิ่ง
runner	นักวิ่ง
running	การวิ่ง
rural	แถบชนบท
rush	รีบเร่ง, พรวดพราด
sad	เศร้า
sadly	อย่างน่าเศร้า
safe	ปลอดภัย
safety	ความปลอดภัย
sail	แล่นเรือใบ
sailing	กีฬาเรือใบ
sailor	กะลาสีเรือ
salad	สลัด
salary	เงินเดือน
sale	การขาย, ลดราคา
salt	เกลือ
same	เหมือนกัน
sample	ตัวอย่าง (ชิ้นทดลอง)
sand	ทราย
sandwich	แซนด์วิช
satellite	ดาวเทียม
satisfied	พึงพอใจ
satisfy	ทำให้พอใจ
Saturday	วันเสาร์
sauce	ซอส
save	ช่วยชีวิต, เก็บออม
saving	เงินออม
say	พูด, กล่าว
scale	มาตราส่วน, ตาชั่ง
scan	สแกน, กวาดสายตา
scared	กลัวลนลาน
scary	น่ากลัว
scene	ฉาก
schedule	ตารางเวลา
school	โรงเรียน
science	วิทยาศาสตร์
scientific	เชิงวิทยาศาสตร์
scientist	นักวิทยาศาสตร์
score	ทำคะแนน
scream	กรีดร้อง
screen	หน้าจอ
script	บทละคร/บทหนัง, สคริปต์
sculpture	ประติมากรรม
sea	ทะเล
search	การค้นหา
season	ฤดูกาล
seat	ที่นั่ง
second	ลำดับที่สอง, วินาที
secondary	ขั้นทุติยภูมิ, มัธยม
secret	ความลับ
secretary	เลขานุการ
section	ส่วน, ตอน, แผนกย่อย
sector	ภาคส่วน (เศรษฐกิจ)
secure	ทำให้มั่นคงปลอดภัย, คว้ามาได้
security	ระบบรักษาความปลอดภัย
see	เห็น
seed	เมล็ดพันธุ์
seek	เสาะหา
seem	ดูเหมือนว่า
select	คัดเลือก
selection	การคัดสรร, ของที่คัดมา
self	ตัวตน
sell	ขาย
senate	วุฒิสภา
senator	วุฒิสมาชิก
send	ส่ง
senior	อาวุโส, รุ่นพี่
sense	สัมผัส, ความรู้สึกนึกคิด
sensible	รู้จักคิด, มีเหตุผล
sensitive	อ่อนไหวง่าย
sentence	ประโยค
separate	แยกออกจากกัน
September	เดือนกันยายน
sequence	ลำดับต่อเนื่อง
series	ซีรีส์, ชุด
serious	จริงจัง, ร้ายแรง
seriously	อย่างจริงจัง
servant	คนรับใช้
serve	เสิร์ฟ, รับใช้
service	การบริการ
session	ช่วงกิจกรรม, เซสชัน
set	จัดตั้งค่า, วางกำหนด
setting	ฉากหลัง, การตั้งค่า
settle	ปักหลัก, ยุติข้อพิพาท
seven	เจ็ด
seventeen	สิบเจ็ด
seventy	เจ็ดสิบ
several	หลายอัน
severe	สาหัส, รุนแรง
sex	เพศ
sexual	ทางเพศ
shade	ร่มเงา
shadow	เงา (ที่ทอดลง)
shake	เขย่า, สั่น
shall	จะ (ทางการ)
shallow	ตื้น
shame	ความอับอาย, น่าเสียดาย
shape	รูปทรง
share	แบ่งปัน, แชร์
sharp	คม, แหลม
she	เธอ, หล่อน
sheep	แกะ
sheet	ผ้าปูที่นอน, แผ่น
shelf	ชั้นวางของ
shell	เปลือกหอย, เปลือกแข็ง
shelter	ที่กำบัง, ที่พักพิง
shift	กะทำงาน, การขยับเปลี่ยน
shine	ส่องแสง
shiny	เป็นมันวาว
ship	เรือใหญ่
shirt	เสื้อเชิ้ต
shock	ความตกตะลึง, ช็อก
shocked	ตกตะลึง
shoe	รองเท้า
shoot	ยิง
shooting	การยิง, เหตุกราดยิง
shop	ร้านค้า
shopping	การช้อปปิ้ง
short	สั้น, เตี้ย
shot	การยิง (นัด), ช็อตภาพ
should	ควรจะ
shoulder	ไหล่
shout	ตะโกน
show	แสดงให้ดู
shower	ฝักบัว, การอาบน้ำฝักบัว
