eye	ดวงตา
face	ใบหน้า
facility	สิ่งอำนวยความสะดวก
fact	ข้อเท็จจริง
factor	ปัจจัย
factory	โรงงาน
fail	ล้มเหลว, สอบตก
failure	ความล้มเหลว
fair	ยุติธรรม
fairly	ค่อนข้าง, อย่างเป็นธรรม
faith	ศรัทธา
fall	ตกลงมา, ล้ม
false	เท็จ, ไม่จริง
familiar	คุ้นเคย
family	ครอบครัว
famous	มีชื่อเสียง
fan	แฟนคลับ, พัดลม
fancy	หรูหรา
fantastic	เยี่ยมยอด, สุดวิเศษ
far	ไกล
farm	ฟาร์ม, ไร่นา
farmer	ชาวนา, เกษตรกร
farming	การทำเกษตร
fascinating	น่าหลงใหล, ชวนติดตาม
fashion	แฟชั่น
fashionable	ตามสมัยนิยม
fast	เร็ว
fasten	รัดให้แน่น, คาด (เข็มขัด)
fat	อ้วน
father	พ่อ, บิดา
fault	ความผิด (ที่ต้องรับ)
favor	ความช่วยเหลือ (ที่ขอกัน)
favorite	ที่ชื่นชอบที่สุด
fear	ความกลัว
feather	ขนนก
feature	จุดเด่น, ฟีเจอร์
February	เดือนกุมภาพันธ์
federal	ระดับสหพันธรัฐ
fee	ค่าธรรมเนียม (บริการ)
feed	ป้อนอาหาร, ให้อาหาร
feedback	ผลตอบรับ, ฟีดแบ็ก
feel	รู้สึก
feeling	ความรู้สึก
fellow	เพื่อนร่วม (ชะตากรรม/อาชีพ)
female	เพศหญิง
fence	รั้ว
festival	เทศกาล
fever	ไข้
few	น้อย, ไม่กี่
fiction	นวนิยาย, เรื่องแต่ง
field	ทุ่งนา, สนาม, วงการ
fifteen	สิบห้า
fifth	ลำดับที่ห้า
fifty	ห้าสิบ
fight	ต่อสู้
fighting	การต่อสู้
figure	ตัวเลข, รูปร่าง
file	แฟ้มเอกสาร, ไฟล์
fill	เติมให้เต็ม
film	ภาพยนตร์, ฟิล์ม
final	สุดท้าย
finally	ท้ายที่สุด
finance	การเงิน
financial	ทางการเงิน
find	หาเจอ, ค้นพบ
finding	ผลการค้นพบ
fine	สบายดี, ปรับไหม
finger	นิ้วมือ
finish	เสร็จสิ้น
fire	ไฟ
firm	บริษัท (ห้างหุ้นส่วน)
first	ที่หนึ่ง, แรก
fish	ปลา
fishing	การตกปลา
fit	พอดีตัว
fitness	ความฟิตของร่างกาย
five	ห้า
fix	ซ่อม, แก้ไข
fixed	ตายตัว, คงที่
flag	ธง
flame	เปลวไฟ
flash	แสงวาบ, แฟลช
flat	แบนราบ
flexible	ยืดหยุ่น
flight	เที่ยวบิน
float	ลอย
flood	น้ำท่วม
floor	พื้น, ชั้นของตึก
flour	แป้งทำอาหาร
flow	ไหล
flower	ดอกไม้
flu	ไข้หวัดใหญ่
fly	บิน
flying	การบิน
focus	โฟกัส, เพ่งความสนใจ
fold	พับ
folding	แบบพับได้
folk	ชาวบ้าน, พื้นบ้าน
follow	ติดตาม
following	ที่ตามมา, ถัดไป
food	อาหาร
foot	เท้า
football	อเมริกันฟุตบอล
for	สำหรับ, เพื่อ
force	กำลัง, อำนาจบังคับ
foreign	ต่างชาติ
forest	ป่า
forever	ตลอดกาล
forget	ลืม
forgive	ให้อภัย
fork	ส้อม
form	แบบฟอร์ม, รูปแบบ
formal	เป็นทางการ
former	ก่อนหน้า, อดีต (ตำแหน่ง)
fortunately	โชคดีที่
fortune	โชคลาภ, ทรัพย์สมบัติมหาศาล
forty	สี่สิบ
forward	ไปข้างหน้า
found	ก่อตั้ง (องค์กร)
four	สี่
fourteen	สิบสี่
fourth	ลำดับที่สี่
frame	กรอบ, โครง
free	ฟรี, อิสระ
freedom	เสรีภาพ
freeze	แช่แข็ง, กลายเป็นน้ำแข็ง
frequency	ความถี่
frequently	บ่อยครั้ง
fresh	สด
Friday	วันศุกร์
friend	เพื่อน
friendly	เป็นมิตร
friendship	มิตรภาพ
frighten	ทำให้ตกใจกลัว
frightened	ตกใจกลัว
frightening	น่าหวาดกลัว
frog	กบ
from	จาก
front	ด้านหน้า
frozen	แช่แข็งแล้ว
fruit	ผลไม้
